c10_drug_dealing_&_trafficking, grand_total_offence_count, f30_other_government_regulatory_offences, total_division_c_offences, d20_disorderly_&_offensive_conduct, d10_weapons_&_explosives_offences, a80_dangerous_&_negligent_acts_endangering_people, a30_sexual_offences, a10_homicide_&_related_offences, e10_justice_procedures, total_division_f_offences, a50_robbery, b50_deception, a20_assault_&_related_offences, c30_drug_use_&_possession, b20_property_damage, total_division_a_offences, d30_public_nuisance_offences, reference_period, b10_arson, total_division_d_offences, c20_cultivate_or_manufacture_drugs, f90_miscellaneous_offences, d40_public_security_offences, a40_abduction_&_related_offences, b30_burglary_break_&_enter, total_division_b_offences, lga_erp, lga_name11, lga_code, total_division_e_offences, e20_breaches_of_orders, f10_regulatory_driving_offences, a70_stalking_harassment_&_threatening_behaviour, b40_theft, a60_blackmail_&_extortion, c90_other_drug_offences, f20_transport_regulation_offences, b60_bribery
53,11956,20,498,279,343,125,544,2,424,32,38,695,931,398,1212,1784,41,"2016",153,664,45,3,1,12,1245,7363,103964,"Ballarat (C)","20570",1615,1191,1,130,4058,2,2,8,null
95,9806,7,476,166,205,76,175,2,223,16,36,712,715,353,774,1236,61,"2016",60,434,28,3,2,11,1155,6154,127791,"Banyule (C)","20660",1490,1267,null,214,3453,7,null,6,null
20,2989,5,122,99,89,60,115,null,105,9,3,119,337,92,323,620,24,"2016",38,212,10,1,null,7,218,1434,32848,"Bass Coast (S)","20740",592,487,null,98,736,null,null,3,null
91,4103,5,431,85,171,50,220,2,108,40,11,165,360,326,352,794,35,"2016",38,291,14,24,null,7,304,1931,48072,"Baw Baw (S)","20830",616,508,null,143,1072,1,null,11,null
25,5368,4,249,133,140,25,137,2,79,16,34,394,308,213,486,623,38,"2016",23,311,11,1,null,6,596,3716,102882,"Bayside (C)","20910",453,374,null,110,2217,1,null,11,null
11,1580,7,67,17,39,21,80,null,32,11,4,206,189,52,187,333,18,"2016",18,74,4,4,null,2,92,767,13444,"Benalla (RC)","21010",328,296,null,37,264,null,null,null,null
32,8555,4,343,157,116,37,153,2,134,11,40,790,410,300,603,787,29,"2016",21,303,11,3,1,6,1193,6403,176732,"Boroondara (C)","21110",708,574,null,137,3796,2,null,4,null
8,407,2,27,34,26,4,32,null,1,8,null,12,51,15,36,104,3,"2016",2,63,3,null,null,null,29,158,12010,"Alpine (S)","20110",47,46,null,17,79,null,1,6,null
14,1243,null,123,87,45,20,36,null,81,4,2,50,169,106,141,260,16,"2016",7,148,3,4,null,null,72,455,11022,"Ararat (RC)","20260",253,172,null,33,185,null,null,null,null
338,19549,5,1539,315,820,163,231,9,477,26,202,1003,1545,1095,1496,2562,85,"2016",128,1221,106,4,1,24,2023,11664,202863,"Brimbank (C)","21180",2537,2060,null,384,7014,4,null,17,null
4,221,2,22,2,6,5,18,null,5,3,null,4,20,16,32,50,1,"2016",null,9,2,1,null,null,24,122,5891,"Buloke (S)","21270",15,10,null,7,62,null,null,null,null
25,3703,5,160,139,155,47,235,2,180,19,8,97,340,121,341,759,23,"2016",37,317,14,13,null,11,336,1752,36872,"Campaspe (S)","21370",696,516,null,113,941,3,null,1,null
44,7519,4,378,125,188,93,216,2,247,20,33,323,629,318,644,1173,51,"2016",107,386,16,6,22,17,805,4074,95992,"Cardinia (S)","21450",1488,1241,null,175,2195,8,null,10,null
153,23347,6,1133,285,585,258,559,9,688,32,191,1343,2197,925,1734,4068,82,"2016",215,957,55,7,5,49,2642,13907,304071,"Casey (C)","21610",3250,2562,null,792,7973,13,null,19,null
10,1515,null,59,32,94,12,51,null,58,2,4,61,154,34,119,273,13,"2016",27,139,15,2,null,2,97,631,12648,"Central Goldfields (S)","21670",411,353,null,49,327,1,null,null,null
27,1868,6,146,67,76,15,62,2,59,20,2,115,186,108,191,335,11,"2016",9,154,11,7,null,4,135,963,20294,"Colac-Otway (S)","21750",250,191,null,62,513,2,null,7,null
8,853,null,51,17,39,12,41,null,11,1,1,43,81,36,95,163,6,"2016",6,63,7,null,1,1,104,476,15735,"Corangamite (S)","21830",99,88,null,27,228,null,null,1,null
139,16370,3,899,298,393,143,204,2,408,32,80,1298,891,721,1116,1609,54,"2016",71,745,39,4,null,15,1926,11806,153563,"Darebin (C)","21890",1279,871,1,271,7395,3,null,24,null
57,4252,4,274,166,162,62,125,2,122,17,7,158,537,196,495,861,55,"2016",29,383,21,11,null,2,283,1957,44542,"East Gippsland (S)","22110",760,638,1,123,992,3,null,1,null
182,16270,8,1150,520,661,205,355,6,625,28,106,1088,1231,920,1306,2218,147,"2016",122,1328,48,10,null,24,1284,8631,137424,"Frankston (C)","22170",2915,2290,null,289,4831,2,null,10,null
3,573,3,48,15,39,6,30,null,7,3,2,16,58,35,35,113,8,"2016",10,62,10,null,null,null,60,229,9945,"Gannawarra (S)","22250",118,111,null,17,108,null,null,null,null
69,8151,18,449,287,278,121,292,2,247,24,19,379,728,358,767,1421,53,"2016",79,622,22,5,4,16,889,4145,63652,"Greater Shepparton (C)","22830",1490,1243,null,242,2031,1,null,1,null
2,850,1,19,12,8,9,33,null,12,3,2,12,66,13,89,127,4,"2016",21,24,4,1,null,null,150,579,15017,"Hepburn (S)","22910",98,86,null,16,307,1,null,1,null
null,362,null,16,5,8,9,19,null,10,0,null,2,54,14,29,105,3,"2016",2,16,2,null,null,null,34,148,5446,"Hindmarsh (S)","22980",77,67,null,23,81,null,null,null,null
28,6852,1,270,165,191,72,100,2,136,43,35,350,538,236,712,910,64,"2016",32,420,6,3,null,11,587,4294,95046,"Hobsons Bay (C)","23110",915,779,null,152,2613,null,null,39,null
10,2841,5,154,132,60,28,68,2,59,9,2,198,329,136,405,518,25,"2016",28,217,8,3,null,4,160,1231,19801,"Horsham (RC)","23190",712,653,1,85,440,null,null,null,null
209,23377,23,1329,316,781,318,376,18,776,168,98,1364,1646,1034,1761,3147,115,"2016",591,1217,86,107,5,42,2306,13988,201304,"Hume (C)","23270",3528,2752,null,635,7966,14,null,38,null
5,449,1,22,17,29,16,8,2,14,3,2,13,54,15,51,96,3,"2016",20,49,2,2,null,1,46,215,15574,"Indigo (S)","23350",64,50,null,13,85,null,null,null,null
99,11448,15,720,317,321,68,253,2,237,45,74,896,724,589,871,1366,47,"2016",43,685,32,2,null,12,1047,7057,156754,"Kingston (C)","23430",1575,1338,null,233,4200,null,null,28,null
116,11313,14,808,220,361,122,402,2,257,26,48,724,773,655,852,1608,68,"2016",58,651,37,2,2,14,941,6899,157052,"Knox (C)","23670",1321,1064,null,245,4324,2,null,10,null
78,14099,11,588,517,420,189,379,4,349,23,56,496,1577,483,1563,2801,170,"2016",150,1113,26,12,6,26,1057,6462,74026,"Latrobe (C)","23810",3112,2763,null,565,3196,5,1,null,null
4,501,null,48,14,8,3,33,null,16,1,1,5,69,43,56,123,6,"2016",1,28,1,1,null,2,59,234,7291,"Loddon (S)","23940",67,51,null,15,113,null,null,null,null
37,2569,10,185,40,124,35,61,null,73,21,2,76,311,143,242,479,39,"2016",40,204,5,5,1,1,213,1120,46119,"Macedon Ranges (S)","24130",560,487,null,66,549,3,null,6,null
25,4829,5,195,65,74,50,117,2,52,6,17,391,388,151,357,747,27,"2016",24,166,19,1,null,15,814,3364,120716,"Manningham (C)","24210",351,299,null,156,1778,2,null,null,null
14,593,1,44,29,42,6,25,null,8,24,1,8,44,28,74,97,8,"2016",8,81,2,7,2,2,56,282,8358,"Mansfield (S)","24250",65,57,null,19,136,null,null,16,null
145,9194,9,603,239,273,38,108,4,119,37,98,828,527,438,684,942,85,"2016",46,598,20,2,1,17,793,6477,85276,"Maribyrnong (C)","24330",537,418,1,142,4126,8,null,25,null
126,8685,17,636,293,306,60,231,null,217,34,30,466,678,491,656,1196,57,"2016",58,656,19,4,null,18,600,4561,113944,"Maroondah (C)","24410",1602,1385,null,174,2781,5,null,13,null
302,37311,56,1939,3017,828,206,548,6,876,154,413,5363,2714,1606,1899,4459,313,"2016",58,4168,29,25,10,47,2104,22607,136336,"Melbourne (C)","24600",3984,3108,1,507,13182,18,2,72,1
110,12282,3,644,155,493,200,197,4,268,24,57,578,1038,464,947,1817,61,"2016",121,712,70,11,3,18,1359,7545,138641,"Melton (S)","24650",1540,1272,null,302,4522,1,null,10,18
79,6498,6,386,341,186,111,130,6,164,11,18,237,744,284,667,1187,83,"2016",74,610,23,5,null,19,721,3287,53326,"Mildura (RC)","24780",1017,853,null,158,1588,1,null,null,null
26,4423,6,247,113,159,102,90,null,155,22,4,222,525,191,417,957,55,"2016",68,327,30,5,null,4,353,2068,40595,"Mitchell (S)","24850",802,647,1,228,1008,4,null,10,null
36,1742,3,177,63,102,31,151,2,50,4,null,78,159,131,152,381,15,"2016",18,180,10,null,null,3,165,799,28887,"Moira (S)","24900",201,151,null,35,386,null,null,1,null
66,12505,8,499,186,223,92,192,2,193,19,130,2333,744,389,822,1389,50,"2016",58,460,37,2,1,13,1524,9135,190234,"Monash (C)","24970",1003,810,null,212,4398,4,7,9,null
91,9732,2,574,210,223,61,170,2,182,15,56,581,655,460,663,1181,59,"2016",36,492,23,2,null,7,892,6530,121703,"Moonee Valley (C)","25060",940,758,null,222,4358,8,null,11,null
26,2497,4,112,34,84,43,85,2,83,10,7,92,223,76,246,423,11,"2016",58,132,10,3,3,5,251,1431,32338,"Moorabool (S)","25150",389,306,null,55,784,3,null,3,null
148,14980,10,673,257,270,139,223,9,426,46,80,945,1008,490,1117,1793,72,"2016",96,600,35,4,1,30,1834,10411,170615,"Moreland (C)","25250",1457,1031,null,297,6419,7,null,32,null
110,11949,8,687,691,408,123,295,5,305,21,39,481,934,519,1118,1721,94,"2016",93,1195,58,4,2,16,1524,6433,157041,"Mornington Peninsula (S)","25340",1892,1587,null,306,3216,3,null,9,1
1,1301,1,44,55,37,9,34,null,34,6,3,47,95,39,143,170,36,"2016",25,128,4,4,null,null,132,693,18497,"Mount Alexander (S)","25430",260,226,null,29,346,null,null,1,null
5,589,null,35,24,25,11,52,2,12,0,2,7,75,26,54,163,3,"2016",3,52,4,null,null,1,71,267,16309,"Moyne (S)","25490",72,60,null,20,132,null,null,null,null
null,721,2,30,45,22,15,58,null,13,8,null,18,81,17,59,178,12,"2016",21,79,13,2,null,1,103,372,13882,"Murrindindi (S)","25620",54,41,null,22,171,1,null,4,null
4,2957,2,97,33,45,27,86,2,39,18,9,144,201,87,335,402,15,"2016",33,93,6,4,null,6,302,1979,63158,"Nillumbik (S)","25710",368,329,null,71,1165,null,null,12,null
9,1297,4,117,90,59,31,60,null,62,6,2,14,133,101,165,271,14,"2016",28,163,7,1,null,2,94,472,11471,"Northern Grampians (S)","25810",268,206,null,42,171,1,null,1,null
145,12883,28,822,588,283,95,190,5,178,55,81,970,886,664,929,1510,60,"2016",61,932,12,6,1,15,1243,8634,108472,"Port Phillip (C)","25900",930,752,1,231,5431,7,1,20,null
13,601,2,25,14,11,20,18,4,7,3,1,4,51,10,47,106,9,"2016",33,34,2,null,null,null,79,334,6943,"Pyrenees (S)","25990",99,92,null,12,171,null,null,1,null
null,174,null,3,3,1,1,2,null,1,1,null,2,7,3,21,11,1,"2016",null,5,null,null,null,null,36,147,3069,"Queenscliffe (B)","26080",7,6,null,1,88,null,null,1,null
13,1361,3,81,29,43,26,70,2,30,5,1,14,171,48,147,331,7,"2016",17,79,20,2,null,1,125,598,28017,"South Gippsland (S)","26170",267,237,null,59,295,1,null,null,null
23,1306,5,121,62,47,27,68,2,75,7,1,39,134,95,114,274,22,"2016",10,131,3,1,null,2,84,513,15751,"Southern Grampians (S)","26260",260,185,null,40,266,null,null,1,null
137,11375,4,685,467,236,72,206,5,156,15,72,1076,599,521,675,1099,39,"2016",13,745,26,null,3,16,1312,8204,110569,"Stonnington (C)","26350",627,471,null,124,5128,5,1,11,null
13,619,null,31,11,12,18,28,2,12,14,null,15,58,14,44,129,1,"2016",12,24,4,null,null,1,68,343,9958,"Strathbogie (S)","26430",78,66,1,22,204,null,null,13,null
3,1454,null,37,52,16,22,43,null,20,1,11,54,101,32,135,213,2,"2016",21,70,2,null,null,6,220,1019,29839,"Surf Coast (S)","26490",114,94,null,30,589,null,null,1,null
25,2170,9,137,114,117,52,41,null,97,16,5,58,289,106,205,450,29,"2016",21,261,6,7,1,3,156,866,20361,"Swan Hill (RC)","26610",440,343,null,58,426,2,null,null,null
2,267,2,15,9,32,7,20,null,1,5,null,10,25,11,26,61,2,"2016",6,43,2,3,null,null,15,115,5805,"Towong (S)","26670",28,27,null,9,58,null,null,null,null
35,2554,12,190,210,130,39,88,4,57,62,null,84,271,137,303,465,36,"2016",30,377,18,50,1,2,131,1056,27499,"Wangaratta (RC)","26700",404,347,null,61,508,null,null,null,null
74,3150,5,341,105,142,55,73,null,83,8,5,123,304,253,319,556,42,"2016",16,290,13,2,1,6,282,1373,33797,"Warrnambool (C)","26730",582,499,null,111,633,2,1,1,null
22,4590,10,261,178,155,47,284,2,175,12,4,103,511,214,457,1047,49,"2016",65,382,25,2,null,8,517,2025,42266,"Wellington (S)","26810",863,688,null,190,882,1,null,null,1
null,199,null,17,6,8,4,15,null,3,0,null,4,15,14,9,53,2,"2016",2,16,3,null,null,null,15,96,3855,"West Wimmera (S)","26890",17,14,null,19,66,null,null,null,null
37,7666,6,262,171,113,50,235,4,144,14,53,694,583,207,514,1123,32,"2016",21,316,18,2,null,13,903,5084,167933,"Whitehorse (C)","26980",867,723,null,182,2952,3,null,6,null
189,16122,14,935,205,396,169,227,9,385,26,63,893,1146,684,1298,2144,58,"2016",107,667,62,3,8,23,1877,10544,204643,"Whittlesea (C)","27070",1806,1421,null,497,6369,10,null,9,null
41,3368,2,211,94,102,56,144,null,119,5,6,188,371,158,389,678,25,"2016",43,222,12,2,1,5,268,1735,39249,"Wodonga (RC)","27170",517,398,1,96,847,null,null,null,null
91,15745,9,645,267,369,177,241,5,340,27,126,813,1151,505,1197,2055,110,"2016",147,748,49,4,2,25,1970,10259,222656,"Wyndham (C)","27260",2011,1671,null,323,6132,7,null,14,null
145,14250,17,897,535,360,63,165,5,177,30,108,1581,797,720,1014,1364,53,"2016",24,948,32,null,null,23,1331,9926,91300,"Yarra (C)","27350",1085,908,null,201,5976,2,null,13,null
99,8877,8,685,211,406,105,302,7,183,31,24,418,752,544,866,1467,61,"2016",148,678,41,2,null,17,694,4747,152246,"Yarra Ranges (S)","27450",1269,1086,null,256,2621,4,1,21,null
4,469,1,20,19,16,2,28,2,9,2,1,14,72,10,64,124,12,"2016",9,47,6,1,null,null,39,211,6704,"Yarriambiack (S)","27630",65,56,null,19,85,null,null,null,null
18,1615,1,89,47,46,10,71,2,53,4,1,33,168,63,260,287,30,"2016",13,123,8,1,null,1,125,866,19167,"Glenelg (S)","22410",246,193,null,34,435,null,null,2,null
65,7383,4,480,239,182,51,196,2,86,15,59,479,513,400,647,943,56,"2016",35,478,13,1,1,4,872,4594,148846,"Glen Eira (C)","22310",873,787,null,116,2560,2,2,10,1
7,832,7,28,6,2,16,32,2,20,11,1,22,71,18,58,140,14,"2016",40,22,3,4,null,null,148,546,21355,"Golden Plains (S)","22490",85,65,null,18,278,null,null,null,null
106,10253,10,497,365,343,122,285,8,443,18,31,419,737,370,876,1552,67,"2016",120,775,21,7,null,12,812,5159,110562,"Greater Bendigo (C)","22620",2252,1809,null,357,2932,null,null,1,null
177,20376,15,1305,756,656,232,324,2,663,55,215,1306,1720,1073,1355,3141,111,"2016",107,1525,55,3,2,37,1931,11277,155650,"Greater Dandenong (C)","22670",3073,2410,1,606,6578,5,null,36,null
169,23349,15,888,666,620,209,413,8,535,46,87,1185,1459,661,2176,2654,82,"2016",242,1369,58,8,1,32,3168,15840,235343,"Greater Geelong (C)","22750",2552,2017,1,441,9069,5,null,22,null
